sent,received,answered,node degree
150,100,50,2
300,250,50,5
400,350,50,7
350,300,50,6
250,600,400,4
300,250,50,5
300,250,50,5
150,100,50,2
150,500,400,2
300,250,50,5
400,350,50,7
350,300,50,6
250,200,50,4
300,250,50,5
300,250,50,5
150,100,50,2
150,100,50,2
300,650,400,5
400,350,50,7
350,300,50,6
250,200,50,4
300,250,50,5
300,250,50,5
150,100,50,2
150,100,50,2
300,250,50,5
400,350,50,7
350,300,50,6
250,200,50,4
300,250,50,5
300,250,50,5
150,500,400,2
150,100,50,2
300,250,50,5
400,350,50,7
350,300,50,6
250,200,50,4
300,650,400,5
300,250,50,5
150,100,50,2
